"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a new category","SUCCESS","2022-01-09T12:14:52.547Z[Europe/London]","0.0","14.17"
"Categories CRUD test","Verify if the category was created","SUCCESS","2022-01-09T12:15:06.854Z[Europe/London]","0.0","2.98"
"Categories CRUD test","Update the category information and verify the updated information","SUCCESS","2022-01-09T12:15:09.856Z[Europe/London]","0.0","0.5"
"Categories CRUD test","Delete the category and verify if the category is deleted!","SUCCESS","2022-01-09T12:15:10.366Z[Europe/London]","0.0","0.57"
"Products CRUD test","This will create a new product","SUCCESS","2022-01-09T12:15:16.681Z[Europe/London]","0.0","0.27"
"Products CRUD test","Verify if the product was added","SUCCESS","2022-01-09T12:15:16.949Z[Europe/London]","0.0","3.2"
"Products CRUD test","Update the product information and verify the updated information","SUCCESS","2022-01-09T12:15:20.160Z[Europe/London]","0.0","1.18"
"Products CRUD test","Delete the product and verify if the product is deleted!","SUCCESS","2022-01-09T12:15:21.345Z[Europe/London]","0.0","0.14"
"Services CRUD test","This will create a new service","SUCCESS","2022-01-09T12:15:21.932Z[Europe/London]","0.0","0.16"
"Services CRUD test","Verify if the service was added","SUCCESS","2022-01-09T12:15:22.092Z[Europe/London]","0.0","0.15"
"Services CRUD test","Update the service information and verify the updated information","SUCCESS","2022-01-09T12:15:22.246Z[Europe/London]","0.0","0.3"
"Services CRUD test","Delete the service and verify if the service is deleted!","SUCCESS","2022-01-09T12:15:22.548Z[Europe/London]","0.0","0.17"
"Stores CRUD test","This will create new store","FAILURE","2022-01-09T12:15:22.998Z[Europe/London]","0.0","0.25"
"Stores CRUD test","Verify if the store was created in application","SUCCESS","2022-01-09T12:15:23.274Z[Europe/London]","0.0","0.13"
"Stores CRUD test","Update store information and verify the updated information","FAILURE","2022-01-09T12:15:23.411Z[Europe/London]","0.0","0.15"
"Stores CRUD test","Delete store and verify if the product is deleted","SUCCESS","2022-01-09T12:15:23.571Z[Europe/London]","0.0","0.27"
